"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"3251","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_PRESENCE_SUMMARY_V1","Storage Dns Record Health Presence Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3251-storage-dns-record-health-presence-summary.ps1","140ca0945f6bf74673a3dea7a8e317baeb904d0d6f2372313b1ba7080be482c2","False","False","False","safe sanitized evidence only"
"3252","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_STATUS_SUMMARY_V1","Storage Dns Record Health Status Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3252-storage-dns-record-health-status-summary.ps1","ea0c1a08be14fcba1e1df1fc2a901a89d4bacb70ebfae41a3da652ee995840b0","False","False","False","safe sanitized evidence only"
"3253","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_CONFIGURATION_SUMMARY_V1","Storage Dns Record Health Configuration Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3253-storage-dns-record-health-configuration-summary.ps1","f6832a336a8493a8efb68cd8afb2c5ed75e85c0d45da042341c4375b64ed9eb3","False","False","False","safe sanitized evidence only"
"3254","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_COUNT_SUMMARY_V1","Storage Dns Record Health Count Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3254-storage-dns-record-health-count-summary.ps1","fed1e55c429f2aa81c9f3975cfe3b5c389c2c4a02bc93f0b5dd8cab47c9a66f8","False","False","False","safe sanitized evidence only"
"3255","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_RISK_CATEGORY_SUMMARY_V1","Storage Dns Record Health Risk Category Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3255-storage-dns-record-health-risk-category-summary.ps1","5a7c85b5ca452ccd92fe143f96b84c1353c1ad1fcf5d031b8a4787009d136b9a","False","False","False","safe sanitized evidence only"
"3256","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_EVENT_COUNT_24H_V1","Storage Dns Record Health Event Count 24h","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3256-storage-dns-record-health-event-count-24h.ps1","67506f0efd67ea7fe827b9d34f39639436263c88d75f16d3c6fc55ee9610237c","False","False","False","safe sanitized evidence only"
"3257","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_EVENT_COUNT_7D_V1","Storage Dns Record Health Event Count 7d","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3257-storage-dns-record-health-event-count-7d.ps1","1ac76888d527a936ba450b89bbce6b00701710060e60cb6b4655655701f35699","False","False","False","safe sanitized evidence only"
"3258","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_GUIDANCE_PLAN_V1","Storage Dns Record Health Guidance Plan","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3258-storage-dns-record-health-guidance-plan.ps1","675bfe8b553f03598efd529f0714feea6a1cfd9acc84a2e83e8c4485d2b4fd53","False","False","False","safe sanitized evidence only"
"3259","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_QUESTION_PLAN_V1","Storage Dns Record Health Question Plan","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3259-storage-dns-record-health-question-plan.ps1","ab629f7558c3c4fa6b189a97078dcd1b097d60301107a881f6dd23ef3a7e770d","False","False","False","safe sanitized evidence only"
"3260","STORAGE_ENTERPRISE_NETWORK_STORAGE_PATH_EVIDENCE_V1_STORAGE_DNS_RECORD_HEALTH_RUNNER_SUMMARY_V1","Storage Dns Record Health Runner Summary","enterprise-network-storage-path-evidence-v1","action-layers/windows/storage-admin/enterprise-network-storage-path-evidence-v1/scripts/checks/3260-storage-dns-record-health-runner-summary.ps1","1f79868e89e597ff655c2e6a6e76b27946fc5a2cce66657da5711840a369ef52","False","False","False","safe sanitized evidence only"
