"action_number","action_id","action_layer_id","title","description","category","level","platform","audience","script_path","script_sha256","hash_policy","public_safe","no_admin_required","no_remediation","mutation","accepted_for_baseline","accepted_for_mutation"
"581","ENDUSER_NETWORK_PACKAGE_READINESS_V1","network-evidence-v1","network package readiness","Existing network-evidence-v1 candidate action 581.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/581-network-package-readiness.ps1","f5300362806f9b372824277a140435aad179898bef81588c31c7f5e31bba5cf8","lf-normalized-sha256","True","True","True","False","False","False"
"582","ENDUSER_NETWORK_ADAPTER_SUMMARY_V1","network-evidence-v1","network adapter summary","Existing network-evidence-v1 candidate action 582.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/582-network-adapter-summary.ps1","d69f94bf3ec8621233ee1c43ce7c97585b4460ea4fb3c6b9515ba5c083cfda75","lf-normalized-sha256","True","True","True","False","False","False"
"583","ENDUSER_NETWORK_CONNECTED_ADAPTER_SUMMARY_V1","network-evidence-v1","network connected adapter summary","Existing network-evidence-v1 candidate action 583.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/583-network-connected-adapter-summary.ps1","cd9002fbda335209a738b02087909785f2f804dc677ec9cc8c2792919b6c825b","lf-normalized-sha256","True","True","True","False","False","False"
"584","ENDUSER_NETWORK_IP_CONFIGURATION_SUMMARY_V1","network-evidence-v1","network ip configuration summary","Existing network-evidence-v1 candidate action 584.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/584-network-ip-configuration-summary.ps1","0f2f79ea2d17a858ecde560e4af35337633141887b69f753a10317eec455debb","lf-normalized-sha256","True","True","True","False","False","False"
"585","ENDUSER_NETWORK_DNS_CLIENT_SUMMARY_V1","network-evidence-v1","network dns client summary","Existing network-evidence-v1 candidate action 585.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/585-network-dns-client-summary.ps1","f44bddd35c527d1fea7e85434d8354c502b7bba30c21ce098279cabfaac36c2e","lf-normalized-sha256","True","True","True","False","False","False"
"586","ENDUSER_NETWORK_DEFAULT_GATEWAY_SUMMARY_V1","network-evidence-v1","network default gateway summary","Existing network-evidence-v1 candidate action 586.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/586-network-default-gateway-summary.ps1","36a140f2f6186fb395a88ca85c98a8c7a45cea9d3a00e51c0d113592d1f6c4a5","lf-normalized-sha256","True","True","True","False","False","False"
"587","ENDUSER_NETWORK_ROUTE_SUMMARY_V1","network-evidence-v1","network route summary","Existing network-evidence-v1 candidate action 587.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/587-network-route-summary.ps1","72ec8273e7d9fc246d5453e960ab5ee5404a17b953b7c0f527bf3a666934f4e7","lf-normalized-sha256","True","True","True","False","False","False"
"588","ENDUSER_NETWORK_INTERFACE_METRIC_SUMMARY_V1","network-evidence-v1","network interface metric summary","Existing network-evidence-v1 candidate action 588.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/588-network-interface-metric-summary.ps1","047bd76bf4739307088f366dc37a0122c4ac3cc4258fa10b6ec0413cd459750c","lf-normalized-sha256","True","True","True","False","False","False"
"589","ENDUSER_NETWORK_PROFILE_SUMMARY_V1","network-evidence-v1","network profile summary","Existing network-evidence-v1 candidate action 589.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/589-network-profile-summary.ps1","039c5342f832194881670fbdcbd47b19127ab38b5a64be4b0d51c0ccbf72e387","lf-normalized-sha256","True","True","True","False","False","False"
"590","ENDUSER_NETWORK_PROXY_SUMMARY_V1","network-evidence-v1","network proxy summary","Existing network-evidence-v1 candidate action 590.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/590-network-proxy-summary.ps1","ccee49e1703bb1465008482f7ac16c126cbf48dfee6b324194f3ad0aad85e641","lf-normalized-sha256","True","True","True","False","False","False"
"591","ENDUSER_NETWORK_VPN_PROFILE_PRESENCE_SUMMARY_V1","network-evidence-v1","network vpn profile presence summary","Existing network-evidence-v1 candidate action 591.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/591-network-vpn-profile-presence-summary.ps1","3ac7504beb7c095075fb11e61f07996b5e46eff485cf5337574d265cbfe34cb7","lf-normalized-sha256","True","True","True","False","False","False"
"592","ENDUSER_NETWORK_WIFI_PROFILE_COUNT_SUMMARY_V1","network-evidence-v1","network wifi profile count summary","Existing network-evidence-v1 candidate action 592.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/592-network-wifi-profile-count-summary.ps1","064636d403ca8e1a532f7345f4222bb6d13a089f1053af37dac950348da1be4c","lf-normalized-sha256","True","True","True","False","False","False"
"593","ENDUSER_NETWORK_DHCP_CLIENT_SERVICE_STATUS_SUMMARY_V1","network-evidence-v1","network dhcp client service status summary","Existing network-evidence-v1 candidate action 593.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/593-network-dhcp-client-service-status-summary.ps1","9297c5b2b81cc1c29f7f82595353bcee9b4b1836171d83e090fdd62b3c0324c0","lf-normalized-sha256","True","True","True","False","False","False"
"594","ENDUSER_NETWORK_DNS_CLIENT_SERVICE_STATUS_SUMMARY_V1","network-evidence-v1","network dns client service status summary","Existing network-evidence-v1 candidate action 594.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/594-network-dns-client-service-status-summary.ps1","ab05762b45a9ac3a54e066353f99d889352c884c2098f86796cc78cf981660ce","lf-normalized-sha256","True","True","True","False","False","False"
"595","ENDUSER_NETWORK_NLA_SERVICE_STATUS_SUMMARY_V1","network-evidence-v1","network nla service status summary","Existing network-evidence-v1 candidate action 595.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/595-network-nla-service-status-summary.ps1","6b23e32dab89c88112b9ab3ad432a225f48bfb375ff585d48541cf616aca8108","lf-normalized-sha256","True","True","True","False","False","False"
"596","ENDUSER_NETWORK_FIREWALL_PROFILE_SUMMARY_V1","network-evidence-v1","network firewall profile summary","Existing network-evidence-v1 candidate action 596.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/596-network-firewall-profile-summary.ps1","5929eeb94d617c040501d75ac9812c61d08fe228abb8737a6f93d14f6886a0dd","lf-normalized-sha256","True","True","True","False","False","False"
"597","ENDUSER_NETWORK_RECENT_DHCP_EVENT_COUNT_SUMMARY_V1","network-evidence-v1","network recent dhcp event count summary","Existing network-evidence-v1 candidate action 597.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/597-network-recent-dhcp-event-count-summary.ps1","d5e817d65a5f52c63b9a7330e5bbc995f9c5a9ecd85b0f3179633e0a6f00d8af","lf-normalized-sha256","True","True","True","False","False","False"
"598","ENDUSER_NETWORK_RECENT_DNS_CLIENT_EVENT_COUNT_SUMMARY_V1","network-evidence-v1","network recent dns client event count summary","Existing network-evidence-v1 candidate action 598.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/598-network-recent-dns-client-event-count-summary.ps1","8fce2a5181c5546c58504289641a2194e534815ad02ac93c5d0110c61a8fd2a9","lf-normalized-sha256","True","True","True","False","False","False"
"599","ENDUSER_NETWORK_CONNECTIVITY_GUIDANCE_PLAN_V1","network-evidence-v1","network connectivity guidance plan","Existing network-evidence-v1 candidate action 599.","network-guidance","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/599-network-connectivity-guidance-plan.ps1","1a0907d7499f1fe90d9473574e4d0eed4264bbcdc16ac765df935f16a0fe5fa6","lf-normalized-sha256","True","True","True","False","False","False"
"600","ENDUSER_NETWORK_TICKET_READY_QUESTION_PLAN_V1","network-evidence-v1","ticket ready network question plan","Existing network-evidence-v1 candidate action 600.","network-guidance","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/600-ticket-ready-network-question-plan.ps1","131240937360141e66776dfe765965cb0f49ce61deffd0a82c3c356519e6117f","lf-normalized-sha256","True","True","True","False","False","False"
"601","ENDUSER_NETWORK_ADAPTER_DRIVER_CATEGORY_SUMMARY_V1","network-evidence-v1","Network adapter driver category summary","Collects sanitized read-only local evidence for network-adapter-driver-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/601-network-adapter-driver-category-summary.ps1","42d3abf225bea715a6d9ec2cff5ae13102fc3ca2e2c123f4825d2b70a484dd1a","lf-normalized-sha256","True","True","True","False","False","False"
"602","ENDUSER_NETWORK_ADAPTER_MEDIA_TYPE_SUMMARY_V1","network-evidence-v1","Network adapter media type summary","Collects sanitized read-only local evidence for network-adapter-media-type-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/602-network-adapter-media-type-summary.ps1","244f0e7ab1ee348a440bdae18c4ecea801d9e7ba2ec2a209274a37d7f1f67267","lf-normalized-sha256","True","True","True","False","False","False"
"603","ENDUSER_NETWORK_ADAPTER_HARDWARE_VIRTUAL_BALANCE_SUMMARY_V1","network-evidence-v1","Network adapter hardware virtual balance summary","Collects sanitized read-only local evidence for network-adapter-hardware-virtual-balance-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/603-network-adapter-hardware-virtual-balance-summary.ps1","91b633bf3cbb39ebf989376cfb6ae887830ee4eb92cccef85ff5fb47c4cdd03d","lf-normalized-sha256","True","True","True","False","False","False"
"604","ENDUSER_NETWORK_ADAPTER_LINK_SPEED_CATEGORY_SUMMARY_V1","network-evidence-v1","Network adapter link speed category summary","Collects sanitized read-only local evidence for network-adapter-link-speed-category-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/604-network-adapter-link-speed-category-summary.ps1","1b9d9b365003ceb55e6cecaf7f5cfd53bd61bfe65e346e55669953b5ddafc9a8","lf-normalized-sha256","True","True","True","False","False","False"
"605","ENDUSER_NETWORK_ADAPTER_ADMIN_OPERATIONAL_STATE_SUMMARY_V1","network-evidence-v1","Network adapter admin operational state summary","Collects sanitized read-only local evidence for network-adapter-admin-operational-state-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/605-network-adapter-admin-operational-state-summary.ps1","bd4ff465f57f5ccf6f04ae24b55da7721cc147a4c97e4864535699cf600a238d","lf-normalized-sha256","True","True","True","False","False","False"
"606","ENDUSER_NETWORK_ADAPTER_HIDDEN_PRESENCE_SUMMARY_V1","network-evidence-v1","Network adapter hidden presence summary","Collects sanitized read-only local evidence for network-adapter-hidden-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/606-network-adapter-hidden-presence-summary.ps1","50e12066e279431b136737f247ecc534a23a20bb070ae000857e172de857b82d","lf-normalized-sha256","True","True","True","False","False","False"
"607","ENDUSER_NETWORK_ADAPTER_LOOPBACK_PRESENCE_SUMMARY_V1","network-evidence-v1","Network adapter loopback presence summary","Collects sanitized read-only local evidence for network-adapter-loopback-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/607-network-adapter-loopback-presence-summary.ps1","7399342510b73051171bc299dcbeaf3ac490220d75686dcec04d2f446cfe088a","lf-normalized-sha256","True","True","True","False","False","False"
"608","ENDUSER_NETWORK_ADAPTER_VIRTUALIZATION_PRESENCE_SUMMARY_V1","network-evidence-v1","Network adapter virtualization presence summary","Collects sanitized read-only local evidence for network-adapter-virtualization-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/608-network-adapter-virtualization-presence-summary.ps1","32e142db0e80c1855b0e9ea9498aafd2f91e25fae73f3fba6fd4178db75dd30d","lf-normalized-sha256","True","True","True","False","False","False"
"609","ENDUSER_NETWORK_ADAPTER_BLUETOOTH_PRESENCE_SUMMARY_V1","network-evidence-v1","Network adapter bluetooth presence summary","Collects sanitized read-only local evidence for network-adapter-bluetooth-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/609-network-adapter-bluetooth-presence-summary.ps1","9eebbbf18771d41639bf13c94c15c4017219be0a3035df3e8596e7bafbd50daf","lf-normalized-sha256","True","True","True","False","False","False"
"610","ENDUSER_NETWORK_ADAPTER_CELLULAR_PRESENCE_SUMMARY_V1","network-evidence-v1","Network adapter cellular presence summary","Collects sanitized read-only local evidence for network-adapter-cellular-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/610-network-adapter-cellular-presence-summary.ps1","bfd7f35f8c681996537332057b7ab9cdd370f4026e279fc517560f8e2a87a309","lf-normalized-sha256","True","True","True","False","False","False"
"611","ENDUSER_NETWORK_IPV4_PRESENCE_SUMMARY_V1","network-evidence-v1","Network IPv4 presence summary","Collects sanitized read-only local evidence for network-ipv4-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/611-network-ipv4-presence-summary.ps1","7e24def90e626732ada2ecc69af21f289dba2dbab508f25ade23a0be06bc49ac","lf-normalized-sha256","True","True","True","False","False","False"
"612","ENDUSER_NETWORK_IPV6_PRESENCE_SUMMARY_V1","network-evidence-v1","Network IPv6 presence summary","Collects sanitized read-only local evidence for network-ipv6-presence-summary without raw identifiers, targets, scanning, remediation, or mutation.","network-evidence","Level 1","windows","end-user","action-layers/windows/end-user/network-evidence-v1/scripts/checks/612-network-ipv6-presence-summary.ps1","69744b41ee5375aaf5cd22710ff8c7bb9d2f5790c79823e7177dcdcd0999b93b","lf-normalized-sha256","True","True","True","False","False","False"
