"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_DFS_DFS_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Dfs Package Readiness Presence Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1201-dfs-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_STATUS_SUMMARY_V1","Dfs Package Readiness Status Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1202-dfs-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Dfs Package Readiness Configuration Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1203-dfs-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_COUNT_SUMMARY_V1","Dfs Package Readiness Count Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1204-dfs-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Dfs Package Readiness Risk Category Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1205-dfs-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Dfs Package Readiness Event Count 24h","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1206-dfs-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Dfs Package Readiness Event Count 7d","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1207-dfs-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Dfs Package Readiness Guidance Plan","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1208-dfs-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_QUESTION_PLAN_V1","Dfs Package Readiness Question Plan","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1209-dfs-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
"STORAGE_DFS_DFS_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Dfs Package Readiness Runner Summary","windows-dfs-namespace-replication-evidence-v1","action-layers/windows/storage-admin/windows-dfs-namespace-replication-evidence-v1/scripts/checks/1210-dfs-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-dfs-namespace-replication-evidence-v1","evidence"
